timestamp	candidate_id	researcher_model	trap_family	status	score	spread	solvable	cost_usd	per_model_pass	rationale
2026-05-23T14:14:00+00:00	20260523-141319-989	anthropic:claude-opus-4-7	strikethrough_override	gate_fail:lint	0.0000	0.0000	0	0.0800	{}	Targets visual-vector reasoning: a thin strike-through line crossing the decoy amount marks it as superseded, with the replacement amount written next to it (a common manual contract edit pattern). Text extraction loses the line entirely. VLMs that downsample heavily or treat text as a flat token stream tend to miss the strike and may pick the first/larger number. Humans see the edit immediately. No existing trap probes vector-overlay semantics on visible text. | FAIL: ruff failed: F841 Local va
2026-05-23T14:16:00+00:00	20260523-141400-038	openai:gpt-5	multi_column_vendor_confusion	revert_probe	0.0000	0.0000	1	0.0950	{"anthropic:claude-haiku-4-5":1.0,"google:gemini-2.5-flash":1.0}	Targets multi-column reading-order/label salience errors. Right column (Bill To) is large and prominent; left column (Vendor of record) is smaller. Vision models often pick the salient right-side entity as the vendor. Text-only verifier can resolve via explicit label. Not covered by existing traps; expect Gemini Flash to confuse roles more often than Claude/GPT.
2026-05-23T14:17:00+00:00	20260523-141600-710	google:gemini-2.5-pro	redaction_override	gate_fail:forbidden_clean	0.0000	0.0000	0	0.0300	{}	A decoy value is visually redacted with a black vector box and 'REDACTED' text, but remains in the PDF's text stream. The correct value appears elsewhere. This tests if a model can interpret the visual semantics of redaction, or if it naively trusts the underlying text stream. It targets the failure to integrate visual negation cues with extracted text, a mechanism distinct from existing hidden-text or small-text traps. | FAIL: forbidden_answer '$146,192.00' appears in verbose-correct response —
2026-05-23T14:19:14+00:00	20260523-141700-224	anthropic:claude-opus-4-7	unicode_confusable_total	keep	1.0000	1.0000	1	3.0650	{"anthropic:claude-haiku-4-5":0.9333333333333333,"anthropic:claude-opus-4-7":0.0,"anthropic:claude-sonnet-4-6":0.6,"google:gemini-2.5-flash":0.8666666666666667,"google:gemini-2.5-pro":0.6666666666666666,"google:gemini-flash-lite-latest":0.0,"openai:gpt-4o":0.8,"openai:gpt-5":1.0}	Targets a gap between vector-text codepoint awareness and pixel-only reading. Two identical-looking 'TOTAL' rows differ only by ASCII O vs Cyrillic U+041E; a printed clause says which codepoint is binding. Models that read raw text (or strong reasoners) resolve it; vision-only or weaker models can't tell the labels apart and guess. Distinct from existing footnote/redaction/multi-column traps — this probes Unicode-awareness in document grounding. Expect Gemini Flash and GPT-4o to fail; Sonnet/Opu
2026-05-23T14:20:34+00:00	20260523-141914-202	openai:gpt-5	watermark_mismatch_total	revert_probe	0.0000	0.0000	1	0.0950	{"anthropic:claude-haiku-4-5":1.0,"google:gemini-2.5-flash":1.0}	Targets visual-text integration: a large diagonal watermark with a conflicting amount competes with the clear FINAL amount. Vision models often overweight salience and pick the watermark, while careful readers follow the explicit policy line. Distinct from small-print/hidden-text traps; probes susceptibility to background overlays. Expect Gemini Flash to misread salience more than Claude/GPT.
2026-05-23T14:21:32+00:00	20260523-142034-446	google:gemini-2.5-pro	strikethrough_override	revert_probe	0.0000	0.0000	1	0.0750	{"anthropic:claude-haiku-4-5":1.0,"google:gemini-2.5-flash":1.0}	Targets visual-vector reasoning: a thin strike-through line crosses out a decoy amount, with the correct amount written beside it. This pattern mimics manual corrections. Text extraction captures both numbers but loses the visual 'negation' cue of the line. A model that fails to ground the text in the visual vector information will likely return the more prominent (but incorrect) decoy amount. This is a pure visual semantics test not covered by existing traps.
2026-05-23T14:22:58+00:00	20260523-142132-552	anthropic:claude-opus-4-7	rotated_binding_clause	gate_fail:forbidden_clean	0.0000	0.0000	0	0.0800	{}	Targets vision-model weakness on rotated text. Many VLM pipelines tokenize pages in canonical orientation; 90deg sideways text is often misread, skipped, or treated as decoration. Text-extraction pipelines read it fine (characters are in the stream). Humans tilt their head or the viewer. Distinct from existing traps (small-print, hidden-OCR, Unicode, footnote): this probes orientation-equivariance specifically. Expect Gemini Flash & Haiku to miss; stronger models with better spatial reasoning to
2026-05-23T14:25:07+00:00	20260523-142258-659	openai:gpt-5	currency_mismatch_conversion	keep	0.0239	1.0000	1	3.0350	{"anthropic:claude-haiku-4-5":0.8,"anthropic:claude-opus-4-7":0.0,"anthropic:claude-sonnet-4-6":1.0,"google:gemini-2.5-flash":0.9333333333333333,"google:gemini-2.5-pro":1.0,"google:gemini-flash-lite-latest":0.0,"openai:gpt-4o":0.8666666666666667,"openai:gpt-5":1.0}	Targets cross-currency reasoning: the page headlines a EUR total while a clear settlement clause requires USD payment at a stated FX rate. Many VLMs grab the salient EUR figure or fail to apply conversion/rounding. Text-only extraction plus reasoning resolves it. Distinct from small-print/hidden-text: this probes arithmetic + policy compliance. Expect weaker models (e.g., Haiku, some Flash variants) to answer the EUR amount or $-prefixed EUR.
2026-05-23T14:25:52+00:00	20260523-142507-039	google:gemini-2.5-pro	annotation_override	gate_fail:parseable	0.0000	0.0000	0	0.0300	{}	Targets models that fail to process PDF annotations (/Annot). A decoy value is in the main text; the correct value is in a visually apparent 'sticky note' annotation. This creates a gap between pipelines that only extract the primary text stream vs. those that can interpret richer PDF semantics. Humans see the note immediately. This mechanism is novel and not covered by existing traps. | FAIL: generate raised: FreeTextAnnotation bad annotation dictionary name fontName
2026-05-23T14:26:44+00:00	20260523-142552-562	anthropic:claude-opus-4-7	rotated_binding_clause	revert_probe	0.0000	0.0000	1	0.1250	{"anthropic:claude-haiku-4-5":1.0,"google:gemini-2.5-flash":1.0}	Targets vision-pipeline orientation sensitivity. The binding amount is in 11pt text rotated 90deg along the right margin — fully legible to humans (head tilt) and trivial for text extractors (characters in the stream regardless of rotation), but many VLMs tokenize at canonical orientation and skip/under-attend to sideways text. Distinct from small-print, hidden-OCR, Unicode, footnote, currency traps. Expect Haiku/Flash-lite to miss; Opus/GPT-5/Gemini-Pro to handle rotation. Previous attempt fail
